name,city,country,iata_code,_geoloc,links_count,objectID
Islay,Islay,United Kingdom,ILY,"{'lat': 55.681944, 'lng': -6.256667}",2,536
Gloucestershire,Golouchestershire,United Kingdom,GLO,"{'lat': 51.894167, 'lng': -2.1672219999999998}",2,472
Kuopio,Kuopio,Finland,KUO,"{'lat': 63.00715, 'lng': 27.797756}",2,439
Kogalym International,Kogalym,Russia,KGP,"{'lat': 62.18, 'lng': 74.53}",2,4373
Kuusamo,Kuusamo,Finland,KAO,"{'lat': 65.987575, 'lng': 29.239381}",2,437
Framnes,Narvik,Norway,NVK,"{'lat': 68.435833, 'lng': 17.388056}",2,4349
Yampa Valley,Hayden,United States,HDN,"{'lat': 40.481181, 'lng': -107.21766}",2,4339
Cortez Muni,Cortez,United States,CEZ,"{'lat': 37.303, 'lng': -108.628056}",2,4338
Key Field,Meridian,United States,MEI,"{'lat': 32.332624, 'lng': -88.751868}",2,4335
Ogle,Georgetown,Guyana,OGL,"{'lat': 6.806944, 'lng': -58.104444}",2,4306
Chumphon,Chumphon,Thailand,CJM,"{'lat': 10.7112, 'lng': 99.361706}",2,4300
