name,city,country,iata_code,_geoloc,links_count,objectID
Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,"{'lat': 33.636719, 'lng': -84.428067}",1826,3682
Chicago Ohare Intl,Chicago,United States,ORD,"{'lat': 41.978603, 'lng': -87.904842}",1108,3830
Capital Intl,Beijing,China,PEK,"{'lat': 40.080111, 'lng': 116.584556}",1069,3364
Heathrow,London,United Kingdom,LHR,"{'lat': 51.4775, 'lng': -0.461389}",1051,507
Charles De Gaulle,Paris,France,CDG,"{'lat': 49.012779, 'lng': 2.55}",1041,1382
Los Angeles Intl,Los Angeles,United States,LAX,"{'lat': 33.942536, 'lng': -118.408075}",990,3484
Frankfurt Main,Frankfurt,Germany,FRA,"{'lat': 50.026421, 'lng': 8.543125}",990,340
Dallas Fort Worth Intl,Dallas-Fort Worth,United States,DFW,"{'lat': 32.896828, 'lng': -97.037997}",936,3670
John F Kennedy Intl,New York,United States,JFK,"{'lat': 40.639751, 'lng': -73.778925}",911,3797
Schiphol,Amsterdam,Netherlands,AMS,"{'lat': 52.308613, 'lng': 4.763889}",903,580
Pudong,Shanghai,China,PVG,"{'lat': 31.143378, 'lng': 121.805214}",825,3406
Changi Intl,Singapore,Singapore,SIN,"{'lat': 1.3501889999999999, 'lng': 103.994433}",820,3316
Barcelona,Barcelona,Spain,BCN,"{'lat': 41.297078, 'lng': 2.078464}",783,1218
Incheon Intl,Seoul,South Korea,ICN,"{'lat': 37.469075, 'lng': 126.450517}",740,3930
Denver Intl,Denver,United States,DEN,"{'lat': 39.861655999999996, 'lng': -104.673178}",735,3751
Miami Intl,Miami,United States,MIA,"{'lat': 25.79325, 'lng': -80.290556}",734,3576
Franz Josef Strauss,Munich,Germany,MUC,"{'lat': 48.353783, 'lng': 11.786086}",728,346
Ataturk,Istanbul,Turkey,IST,"{'lat': 40.976922, 'lng': 28.814606}",719,1701
Hong Kong Intl,Hong Kong,Hong Kong,HKG,"{'lat': 22.308919, 'lng': 113.914603}",710,3077
Dubai Intl,Dubai,United Arab Emirates,DXB,"{'lat': 25.252778, 'lng': 55.364444}",710,2188
Gatwick,London,United Kingdom,LGW,"{'lat': 51.148056, 'lng': -0.190278}",708,502
Baiyun Intl,Guangzhou,China,CAN,"{'lat': 23.392436, 'lng': 113.298786}",674,3370
Fiumicino,Rome,Italy,FCO,"{'lat': 41.804475, 'lng': 12.250797}",662,1555
Barajas,Madrid,Spain,MAD,"{'lat': 40.493556, 'lng': -3.566764}",661,1229
Suvarnabhumi Intl,Bangkok,Thailand,BKK,"{'lat': 13.681108, 'lng': 100.747283}",656,3885
Domododevo,Moscow,Russia,DME,"{'lat': 55.408611, 'lng': 37.906111}",649,4029
Shuangliu,Chengdu,China,CTU,"{'lat': 30.578528, 'lng': 103.947086}",647,3395
Lester B Pearson Intl,Toronto,Canada,YYZ,"{'lat': 43.677223, 'lng': -79.630556}",636,193
Brussels Natl,Brussels,Belgium,BRU,"{'lat': 50.901389, 'lng': 4.484444}",631,302
Manchester,Manchester,United Kingdom,MAN,"{'lat': 53.353744, 'lng': -2.27495}",627,478
Schwechat,Vienna,Austria,VIE,"{'lat': 48.110278, 'lng': 16.569722}",616,1613
Charlotte Douglas Intl,Charlotte,United States,CLT,"{'lat': 35.214, 'lng': -80.943139}",600,3876
Philadelphia Intl,Philadelphia,United States,PHL,"{'lat': 39.871944, 'lng': -75.241139}",576,3752
Narita Intl,Tokyo,Japan,NRT,"{'lat': 35.764722, 'lng': 140.386389}",575,2279
Dusseldorf,Duesseldorf,Germany,DUS,"{'lat': 51.289453, 'lng': 6.766775}",570,345
Xianyang,Xi'an,China,XIY,"{'lat': 34.447119, 'lng': 108.751592}",563,3379
Son Sant Joan,Palma de Mallorca,Spain,PMI,"{'lat': 39.55361, 'lng': 2.727778}",548,3998
Wujiaba,Kunming,China,KMG,"{'lat': 24.992364, 'lng': 102.743536}",545,3382
Jiangbei,Chongqing,China,CKG,"{'lat': 29.719217, 'lng': 106.641678}",540,3393
Indira Gandhi Intl,Delhi,India,DEL,"{'lat': 28.5665, 'lng': 77.103088}",527,3093
Taoyuan Intl,Taipei,Taiwan,TPE,"{'lat': 25.077731, 'lng': 121.232822}",527,2276
Kuala Lumpur Intl,Kuala Lumpur,Malaysia,KUL,"{'lat': 2.745578, 'lng': 101.709917}",514,3304
Phoenix Sky Harbor Intl,Phoenix,United States,PHX,"{'lat': 33.434278, 'lng': -112.011583}",508,3462
Xiaoshan,Hangzhou,China,HGH,"{'lat': 30.229503, 'lng': 120.434453}",506,3386
Newark Liberty Intl,Newark,United States,EWR,"{'lat': 40.6925, 'lng': -74.168667}",505,3494
San Francisco Intl,San Francisco,United States,SFO,"{'lat': 37.618972, 'lng': -122.374889}",499,3469
Mc Carran Intl,Las Vegas,United States,LAS,"{'lat': 36.080056, 'lng': -115.15225}",498,3877
Zurich,Zurich,Switzerland,ZRH,"{'lat': 47.464722, 'lng': 8.549167}",494,1678
George Bush Intercontinental,Houston,United States,IAH,"{'lat': 29.984433, 'lng': -95.341442}",485,3550
Licenciado Benito Juarez Intl,Mexico City,Mexico,MEX,"{'lat': 19.436303, 'lng': -99.072097}",485,1824
Abu Dhabi Intl,Abu Dhabi,United Arab Emirates,AUH,"{'lat': 24.432972, 'lng': 54.651138}",477,2179
Orlando Intl,Orlando,United States,MCO,"{'lat': 28.429394, 'lng': -81.308994}",475,3878
Baoan Intl,Shenzhen,China,SZX,"{'lat': 22.639258, 'lng': 113.810664}",467,3374
Gaoqi,Xiamen,China,XMN,"{'lat': 24.544036, 'lng': 118.127739}",466,3383
Kastrup,Copenhagen,Denmark,CPH,"{'lat': 55.617917, 'lng': 12.655972}",457,609
Chhatrapati Shivaji Intl,Mumbai,India,BOM,"{'lat': 19.088686, 'lng': 72.867919}",452,2997
Arlanda,Stockholm,Sweden,ARN,"{'lat': 59.651944, 'lng': 17.918611}",439,737
Lisboa,Lisbon,Portugal,LIS,"{'lat': 38.781311, 'lng': -9.135919}",435,1638
Detroit Metro Wayne Co,Detroit,United States,DTW,"{'lat': 42.212444, 'lng': -83.353389}",433,3645
Minneapolis St Paul Intl,Minneapolis,United States,MSP,"{'lat': 44.881956, 'lng': -93.221767}",430,3858
General Edward Lawrence Logan Intl,Boston,United States,BOS,"{'lat': 42.364347, 'lng': -71.005181}",424,3448
Tegel,Berlin,Germany,TXL,"{'lat': 52.559686, 'lng': 13.287711}",418,351
Dublin,Dublin,Ireland,DUB,"{'lat': 53.421333, 'lng': -6.270075}",414,599
Hongqiao Intl,Shanghai,China,SHA,"{'lat': 31.197875, 'lng': 121.336319}",411,3391
Sydney Intl,Sydney,Australia,SYD,"{'lat': -33.946111, 'lng': 151.177222}",410,3361
Malaga,Malaga,Spain,AGP,"{'lat': 36.6749, 'lng': -4.499106}",410,1230
Orly,Paris,France,ORY,"{'lat': 48.725278, 'lng': 2.359444}",404,1386
Eleftherios Venizelos Intl,Athens,Greece,ATH,"{'lat': 37.936358, 'lng': 23.944467}",403,3941
Seattle Tacoma Intl,Seattle,United States,SEA,"{'lat': 47.449, 'lng': -122.309306}",403,3577
Sheremetyevo,Moscow,Russia,SVO,"{'lat': 55.972642, 'lng': 37.414589}",397,2985
Ronald Reagan Washington Natl,Washington,United States,DCA,"{'lat': 38.852083, 'lng': -77.037722}",388,3520
Guarulhos Gov Andre Franco Montouro,Sao Paulo,Brazil,GRU,"{'lat': -23.432075, 'lng': -46.469511}",387,2564
Washington Dulles Intl,Washington,United States,IAD,"{'lat': 38.944533, 'lng': -77.455811}",386,3714
Ninoy Aquino Intl,Manila,Philippines,MNL,"{'lat': 14.508647, 'lng': 121.019581}",386,2397
Malpensa,Milano,Italy,MXP,"{'lat': 45.630606, 'lng': 8.728111}",386,1524
Huanghua,Changcha,China,CSX,"{'lat': 28.189158, 'lng': 113.219633}",377,3371
Doha Intl,Doha,Qatar,DOH,"{'lat': 25.261125, 'lng': 51.565056}",377,2241
King Abdulaziz Intl,Jeddah,Saudi Arabia,JED,"{'lat': 21.679564, 'lng': 39.156536}",377,2072
Liuting,Qingdao,China,TAO,"{'lat': 36.266108, 'lng': 120.374436}",376,3390
Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,"{'lat': 26.072583, 'lng': -80.15275}",374,3533
Tianhe,Wuhan,China,WUH,"{'lat': 30.783758, 'lng': 114.2081}",374,3376
Pierre Elliott Trudeau Intl,Montreal,Canada,YUL,"{'lat': 45.470556, 'lng': -73.740833}",371,146
Pulkovo,St. Petersburg,Russia,LED,"{'lat': 59.800292, 'lng': 30.262503}",368,2948
Soekarno Hatta Intl,Jakarta,Indonesia,CGK,"{'lat': -6.125567, 'lng': 106.655897}",367,3275
Gardermoen,Oslo,Norway,OSL,"{'lat': 60.193917, 'lng': 11.100361}",363,644
Ruzyne,Prague,Czech Republic,PRG,"{'lat': 50.100833, 'lng': 14.26}",361,1587
Xinzheng,Zhengzhou,China,CGO,"{'lat': 34.519672, 'lng': 113.840889}",348,3375
Stansted,London,United Kingdom,STN,"{'lat': 51.885, 'lng': 0.23500000000000001}",343,548
Lukou,Nanjing,China,NKG,"{'lat': 31.742042, 'lng': 118.862025}",330,3388
Geneve Cointrin,Geneva,Switzerland,GVA,"{'lat': 46.238064, 'lng': 6.10895}",329,1665
Johannesburg Intl,Johannesburg,South Africa,JNB,"{'lat': -26.139166, 'lng': 28.246}",321,813
Hamburg,Hamburg,Germany,HAM,"{'lat': 53.630389, 'lng': 9.988228}",321,342
Helsinki Vantaa,Helsinki,Finland,HEL,"{'lat': 60.317222, 'lng': 24.963333}",320,421
Tenerife Sur,Tenerife,Spain,TFS,"{'lat': 28.044475, 'lng': -16.572489}",318,1056
La Guardia,New York,United States,LGA,"{'lat': 40.777245, 'lng': -73.872608}",316,3697
Tokyo Intl,Tokyo,Japan,HND,"{'lat': 35.552258, 'lng': 139.779694}",315,2359
Vancouver Intl,Vancouver,Canada,YVR,"{'lat': 49.193889, 'lng': -123.184444}",315,156
Alicante,Alicante,Spain,ALC,"{'lat': 38.282169, 'lng': -0.558156}",314,1212
Cancun Intl,Cancun,Mexico,CUN,"{'lat': 21.036528, 'lng': -86.877083}",311,1852
Gran Canaria,Gran Canaria,Spain,LPA,"{'lat': 27.931886, 'lng': -15.386586}",308,1054
Eldorado Intl,Bogota,Colombia,BOG,"{'lat': 4.701594, 'lng': -74.146947}",307,2709
Diwopu,Urumqi,China,URC,"{'lat': 43.907106, 'lng': 87.474244}",306,3399
Kansai,Osaka,Japan,KIX,"{'lat': 34.4347222, 'lng': 135.244167}",304,3992
Cairo Intl,Cairo,Egypt,CAI,"{'lat': 30.121944, 'lng': 31.405556}",303,1128
Brisbane Intl,Brisbane,Australia,BNE,"{'lat': -27.384167, 'lng': 153.1175}",296,3320
Binhai,Tianjin,China,TSN,"{'lat': 39.124353, 'lng': 117.346183}",294,3368
Sabiha Gokcen,Istanbul,Turkey,SAW,"{'lat': 40.898553, 'lng': 29.309219}",290,4317
Baltimore Washington Intl,Baltimore,United States,BWI,"{'lat': 39.175361, 'lng': -76.668333}",286,3849
Zhoushuizi,Dalian,China,DLC,"{'lat': 38.965667, 'lng': 121.5386}",285,3404
Salt Lake City Intl,Salt Lake City,United States,SLC,"{'lat': 40.788389, 'lng': -111.977772}",278,3536
Tampa Intl,Tampa,United States,TPA,"{'lat': 27.975472, 'lng': -82.53325}",276,3646
King Khaled Intl,Riyadh,Saudi Arabia,RUH,"{'lat': 24.95764, 'lng': 46.698776}",276,2082
Saint Exupery,Lyon,France,LYS,"{'lat': 45.726387, 'lng': 5.090833}",275,1335
Longdongbao,Guiyang,China,KWE,"{'lat': 26.538522, 'lng': 106.800703}",274,3394
Stuttgart,Stuttgart,Germany,STR,"{'lat': 48.689878, 'lng': 9.221964}",273,350
Shenyang Taoxian International Airport,Shenyang,China,SHE,"{'lat': 41.3824, 'lng': 123.2901}",272,4144
Chicago Midway Intl,Chicago,United States,MDW,"{'lat': 41.785972, 'lng': -87.752417}",271,3747
Ben Gurion,Tel-aviv,Israel,TLV,"{'lat': 32.011389, 'lng': 34.886667}",271,1590
Jinan,Jinan,China,TNA,"{'lat': 36.857214, 'lng': 117.215992}",270,4108
Melbourne Intl,Melbourne,Australia,MEL,"{'lat': -37.673333, 'lng': 144.843333}",269,3339
Cote D\\'Azur,Nice,France,NCE,"{'lat': 43.658411, 'lng': 7.215872}",269,1354
Changle,Fuzhou,China,FOC,"{'lat': 25.935064, 'lng': 119.663272}",266,3385
Koln Bonn,Cologne,Germany,CGN,"{'lat': 50.865917, 'lng': 7.142744}",265,344
Provence,Marseille,France,MRS,"{'lat': 43.435555, 'lng': 5.213611}",265,1353
Birmingham,Birmingham,United Kingdom,BHX,"{'lat': 52.453856, 'lng': -1.748028}",264,469
Taiping,Harbin,China,HRB,"{'lat': 45.623403, 'lng': 126.250328}",259,3400
Jomo Kenyatta International,Nairobi,Kenya,NBO,"{'lat': -1.319167, 'lng': 36.9275}",258,4059
Antalya,Antalya,Turkey,AYT,"{'lat': 36.898731, 'lng': 30.800461}",253,1688
Mohammed V Intl,Casablanca,Morocco,CMN,"{'lat': 33.367467, 'lng': -7.589967}",250,1074
Louis Armstrong New Orleans Intl,New Orleans,United States,MSY,"{'lat': 29.993389, 'lng': -90.258028}",248,3861
Venezia Tessera,Venice,Italy,VCE,"{'lat': 45.505278, 'lng': 12.351944}",245,1551
Okecie,Warsaw,Poland,WAW,"{'lat': 52.16575, 'lng': 20.967122}",240,679
Kuwait Intl,Kuwait,Kuwait,KWI,"{'lat': 29.226567, 'lng': 47.968928}",239,2176
San Diego Intl,San Diego,United States,SAN,"{'lat': 32.733556, 'lng': -117.189667}",238,3731
Edinburgh,Edinburgh,United Kingdom,EDI,"{'lat': 55.95, 'lng': -3.3725}",237,535
Honolulu Intl,Honolulu,United States,HNL,"{'lat': 21.318681, 'lng': -157.922428}",233,3728
Catania Fontanarossa,Catania,Italy,CTA,"{'lat': 37.466781, 'lng': 15.0664}",233,1509
Lanzarote,Las Palmas,Spain,ACE,"{'lat': 28.945464, 'lng': -13.605225}",233,1055
Portland Intl,Portland,United States,PDX,"{'lat': 45.588722, 'lng': -122.5975}",230,3720
Jorge Chavez Intl,Lima,Peru,LIM,"{'lat': -12.021889, 'lng': -77.114319}",230,2789
Wuxu,Nanning,China,NNG,"{'lat': 22.608267, 'lng': 108.172442}",228,3373
Calgary Intl,Calgary,Canada,YYC,"{'lat': 51.113888, 'lng': -114.020278}",228,178
Henri Coanda,Bucharest,Romania,OTP,"{'lat': 44.572161, 'lng': 26.102178}",227,1657
Luqa,Malta,Malta,MLA,"{'lat': 35.857497, 'lng': 14.4775}",226,1606
Queen Alia Intl,Amman,Jordan,AMM,"{'lat': 31.722556, 'lng': 35.993214}",223,2170
Lambert St Louis Intl,St. Louis,United States,STL,"{'lat': 38.748697, 'lng': -90.370028}",221,3678
Wusu,Taiyuan,China,TYN,"{'lat': 37.746897, 'lng': 112.628428}",220,3369
Nikos Kazantzakis,Heraklion,Greece,HER,"{'lat': 35.339719, 'lng': 25.180297}",219,1452
Phoenix International,Sanya,China,SYX,"{'lat': 18.302897, 'lng': 109.412272}",218,4030
Tansonnhat Intl,Ho Chi Minh City,Vietnam,SGN,"{'lat': 10.818797, 'lng': 106.651856}",218,3205
Meilan,Haikou,China,HAK,"{'lat': 19.934856, 'lng': 110.458961}",215,4120
Luton,London,United Kingdom,LTN,"{'lat': 51.874722, 'lng': -0.36833299999999997}",214,492
Liangjiang,Guilin,China,KWL,"{'lat': 25.218106, 'lng': 110.039197}",214,3372
Bole Intl,Addis Ababa,Ethiopia,ADD,"{'lat': 8.977889, 'lng': 38.799319}",214,1107
Auckland Intl,Auckland,New Zealand,AKL,"{'lat': -37.008056, 'lng': 174.791667}",213,2006
Tocumen Intl,Panama City,Panama,PTY,"{'lat': 9.071364, 'lng': -79.383453}",212,1871
Chennai Intl,Madras,India,MAA,"{'lat': 12.994413999999999, 'lng': 80.180517}",211,3144
Faro,Faro,Portugal,FAO,"{'lat': 37.014425, 'lng': -7.965911}",211,1626
Seeb Intl,Muscat,Oman,MCT,"{'lat': 23.593278, 'lng': 58.284444}",208,2194
Luis Munoz Marin Intl,San Juan,Puerto Rico,SJU,"{'lat': 18.439417, 'lng': -66.001833}",204,2890
Bandaranaike Intl Colombo,Colombo,Sri Lanka,CMB,"{'lat': 7.180756, 'lng': 79.884117}",203,3024
Riga Intl,Riga,Latvia,RIX,"{'lat': 56.923611, 'lng': 23.971111}",202,3953
Boryspil Intl,Kiev,Ukraine,KBP,"{'lat': 50.345, 'lng': 30.894722}",202,2939
Porto,Porto,Portugal,OPO,"{'lat': 41.248055, 'lng': -8.681389}",202,1636
Ibiza,Ibiza,Spain,IBZ,"{'lat': 38.872858, 'lng': 1.373117}",202,1225
Bali Ngurah Rai,Denpasar,Indonesia,DPS,"{'lat': -8.748169, 'lng': 115.167172}",201,3940
Bristol,Bristol,United Kingdom,BRS,"{'lat': 51.382669, 'lng': -2.719089}",200,490
Koltsovo,Yekaterinburg,Russia,SVX,"{'lat': 56.743108, 'lng': 60.802728}",199,2975
Presidente Juscelino Kubitschek,Brasilia,Brazil,BSB,"{'lat': -15.8711, 'lng': -47.918625}",197,2531
Glasgow,Glasgow,United Kingdom,GLA,"{'lat': 55.871944, 'lng': -4.433056}",196,534
Bangalore,Bangalore,India,BLR,"{'lat': 12.949985999999999, 'lng': 77.668206}",195,3131
Sharjah Intl,Sharjah,United Arab Emirates,SHJ,"{'lat': 25.328575, 'lng': 55.51715}",195,2191
Ferihegy,Budapest,Hungary,BUD,"{'lat': 47.436933, 'lng': 19.255592}",195,1489
Netaji Subhash Chandra Bose Intl,Kolkata,India,CCU,"{'lat': 22.654739, 'lng': 88.446722}",194,3043
Galeao Antonio Carlos Jobim,Rio De Janeiro,Brazil,GIG,"{'lat': -22.808903, 'lng': -43.243647}",194,2560
Nottingham East Midlands,East Midlands,United Kingdom,EMA,"{'lat': 52.831111, 'lng': -1.328056}",192,523
Fuerteventura,Fuerteventura,Spain,FUE,"{'lat': 28.452717, 'lng': -13.863761}",192,1051
Larnaca,Larnaca,Cyprus,LCA,"{'lat': 34.875117, 'lng': 33.62485}",190,1197
EuroAirport Basel-Mulhouse-Freiburg,Basel,Switzerland,BSL,"{'lat': 47.59, 'lng': 7.529167}",189,4053
Don Miguel Hidalgo Y Costilla Intl,Guadalajara,Mexico,GDL,"{'lat': 20.5218, 'lng': -103.311167}",185,1804
Nantes Atlantique,Nantes,France,NTE,"{'lat': 47.153189, 'lng': -1.610725}",183,1418
Perth Intl,Perth,Australia,PER,"{'lat': -31.940278, 'lng': 115.966944}",182,3351
Simon Bolivar Intl,Caracas,Venezuela,CCS,"{'lat': 10.603117, 'lng': -66.990583}",181,2851
Tolmachevo,Novosibirsk,Russia,OVB,"{'lat': 55.012622, 'lng': 82.650656}",177,4078
Houari Boumediene,Algier,Algeria,ALG,"{'lat': 36.691014, 'lng': 3.215408}",176,210
Bologna,Bologna,Italy,BLQ,"{'lat': 44.535444, 'lng': 11.288667}",176,1538
Carthage,Tunis,Tunisia,TUN,"{'lat': 36.851033, 'lng': 10.227217}",175,287
Baita Airport,Hohhot,China,HET,"{'lat': 40.851422, 'lng': 111.824103}",174,6345
Noibai Intl,Hanoi,Vietnam,HAN,"{'lat': 21.221192, 'lng': 105.807178}",174,3199
Makedonia,Thessaloniki,Greece,SKG,"{'lat': 40.519725, 'lng': 22.97095}",174,1486
Changbei Intl,Nanchang,China,KHN,"{'lat': 28.865, 'lng': 115.9}",172,3384
Vnukovo,Moscow,Russia,VKO,"{'lat': 55.591531, 'lng': 37.261486}",171,2988
Beograd,Belgrade,Serbia,BEG,"{'lat': 44.818444, 'lng': 20.309139}",171,1739
Fukuoka,Fukuoka,Japan,FUK,"{'lat': 33.585942, 'lng': 130.450686}",170,2305
Bahrain Intl,Bahrain,Bahrain,BAH,"{'lat': 26.270834, 'lng': 50.63361}",170,2057
Chubu Centrair Intl,Nagoya,Japan,NGO,"{'lat': 34.858414, 'lng': 136.805408}",169,3942
Lanzhou Airport,Lanzhou,China,LHW,"{'lat': 36.117, 'lng': 103.617}",168,6431
Lishe,Ninbo,China,NGB,"{'lat': 29.826683, 'lng': 121.461906}",168,3387
Brussels South,Charleroi,Belgium,CRL,"{'lat': 50.459197, 'lng': 4.453817}",168,304
Rhodes Diagoras,Rhodos,Greece,RHO,"{'lat': 36.405419, 'lng': 28.086192}",168,1472
Austin Bergstrom Intl,Austin,United States,AUS,"{'lat': 30.194528, 'lng': -97.669889}",167,3673
Raleigh Durham Intl,Raleigh-durham,United States,RDU,"{'lat': 35.877639, 'lng': -78.787472}",167,3626
Newcastle,Newcastle,United Kingdom,NCL,"{'lat': 55.0375, 'lng': -1.6916669999999998}",165,521
Schonefeld,Berlin,Germany,SXF,"{'lat': 52.380001, 'lng': 13.5225}",165,337
Shijiazhuang Daguocun International Airport,Shijiazhuang,China,SJW,"{'lat': 38.280686, 'lng': 114.6973}",164,6347
Nashville Intl,Nashville,United States,BNA,"{'lat': 36.124472, 'lng': -86.678194}",164,3690
King Fahd Intl,Dammam,Saudi Arabia,DMM,"{'lat': 26.471161, 'lng': 49.79789}",164,2064
Valencia,Valencia,Spain,VLC,"{'lat': 39.489314, 'lng': -0.48162499999999997}",163,1246
Wenzhou Yongqiang Airport,Wenzhou,China,WNZ,"{'lat': 27.9122, 'lng': 120.852}",162,6392
New Chitose,Sapporo,Japan,CTS,"{'lat': 42.7752, 'lng': 141.692283}",162,2287
Bergamo Orio Al Serio,Bergamo,Italy,BGY,"{'lat': 45.673889, 'lng': 9.704166}",162,1525
Cleveland Hopkins Intl,Cleveland,United States,CLE,"{'lat': 41.411689, 'lng': -81.849794}",161,3486
Blagnac,Toulouse,France,TLS,"{'lat': 43.629075, 'lng': 1.363819}",161,1273
Beijing Nanyuan Airport,Beijing,China,NAY,"{'lat': 39.7825, 'lng': 116.387778}",160,6341
Leeds Bradford,Leeds,United Kingdom,LBA,"{'lat': 53.865897, 'lng': -1.660569}",160,517
Yuzhny,Tashkent,Uzbekistan,TAS,"{'lat': 41.257861, 'lng': 69.281186}",160,2983
Gimhae Intl,Busan,South Korea,PUS,"{'lat': 35.179528, 'lng': 128.938222}",160,2372
Kansas City Intl,Kansas City,United States,MCI,"{'lat': 39.297606, 'lng': -94.713905}",159,3458
Macau Intl,Macau,Macau,MFM,"{'lat': 22.149556, 'lng': 113.591558}",158,3121
Arturo Merino Benitez Intl,Santiago,Chile,SCL,"{'lat': -33.392975, 'lng': -70.785803}",158,2650
Capodichino,Naples,Italy,NAP,"{'lat': 40.886033, 'lng': 14.290781}",158,1561
Luogang,Hefei,China,HFE,"{'lat': 31.780019, 'lng': 117.298436}",154,3389
Hannover,Hannover,Germany,HAJ,"{'lat': 52.461056, 'lng': 9.685078}",152,352
Pisa,Pisa,Italy,PSA,"{'lat': 43.683917, 'lng': 10.39275}",152,1562
Cincinnati Northern Kentucky Intl,Cincinnati,United States,CVG,"{'lat': 39.048836, 'lng': -84.667822}",150,3488
Ministro Pistarini,Buenos Aires,Argentina,EZE,"{'lat': -34.822222, 'lng': -58.535833}",149,3988
William P Hobby,Houston,United States,HOU,"{'lat': 29.645419, 'lng': -95.278889}",149,3566
Juan Santamaria Intl,San Jose,Costa Rica,SJO,"{'lat': 9.993861, 'lng': -84.208806}",149,1885
Pittsburgh Intl,Pittsburgh,United States,PIT,"{'lat': 40.491467, 'lng': -80.232872}",148,3570
Zia Intl,Dhaka,Bangladesh,DAC,"{'lat': 23.843333, 'lng': 90.397781}",148,3076
Hyderabad,Hyderabad,India,HYD,"{'lat': 17.453117, 'lng': 78.467586}",147,3141
General Mariano Escobedo Intl,Monterrey,Mexico,MTY,"{'lat': 25.778489, 'lng': -100.106878}",145,1825
Menara,Marrakech,Morocco,RAK,"{'lat': 31.606886, 'lng': -8.0363}",145,1075
Punta Cana Intl,Punta Cana,Dominican Republic,PUJ,"{'lat': 18.567367, 'lng': -68.363431}",143,1760
Luxembourg,Luxemburg,Luxembourg,LUX,"{'lat': 49.626575, 'lng': 6.211517}",140,629
Edmonton Intl,Edmonton,Canada,YEG,"{'lat': 53.309723, 'lng': -113.579722}",139,49
Indianapolis Intl,Indianapolis,United States,IND,"{'lat': 39.717331, 'lng': -86.294383}",138,3585
Phuket Intl,Phuket,Thailand,HKT,"{'lat': 8.1132, 'lng': 98.316872}",138,3179
Flesland,Bergen,Norway,BGO,"{'lat': 60.293386, 'lng': 5.218142}",137,636
San Antonio Intl,San Antonio,United States,SAT,"{'lat': 29.533694, 'lng': -98.469778}",136,3621
Eindhoven,Eindhoven,Netherlands,EIN,"{'lat': 51.450139, 'lng': 5.374528}",135,585
Lynden Pindling Intl,Nassau,Bahamas,NAS,"{'lat': 25.038958, 'lng': -77.466231}",135,1953
Don Muang Intl,Bangkok,Thailand,DMK,"{'lat': 13.912583, 'lng': 100.60675}",134,3157
Almaty,Alma-ata,Kazakhstan,ALA,"{'lat': 43.352072, 'lng': 77.040508}",134,2908
Merignac,Bordeaux,France,BOD,"{'lat': 44.828335, 'lng': -0.715556}",134,1264
Leopold Sedar Senghor Intl,Dakar,Senegal,DKR,"{'lat': 14.739708, 'lng': -17.490225}",134,1084
Rafic Hariri Intl,Beirut,Lebanon,BEY,"{'lat': 33.820931, 'lng': 35.488389}",133,2177
Adnan Menderes,Izmir,Turkey,ADB,"{'lat': 38.292392, 'lng': 27.156953}",133,1706
Sofia,Sofia,Bulgaria,SOF,"{'lat': 42.695194, 'lng': 23.406167}",132,1194
Changchun,Changchun,China,CGQ,"{'lat': 43.5412, 'lng': 125.1201}",131,4380
Yinchuan,Yinchuan,China,INC,"{'lat': 38.481944, 'lng': 106.009167}",131,4085
Juanda,Surabaya,Indonesia,SUB,"{'lat': -7.379831, 'lng': 112.786858}",131,3928
Lijiang Airport,Lijiang,China,LJG,"{'lat': 26.883333, 'lng': 100.23333}",129,4033
Kaohsiung Intl,Kaohsiung,Taiwan,KHH,"{'lat': 22.577094, 'lng': 120.350006}",129,2264
City,London,United Kingdom,LCY,"{'lat': 51.505278, 'lng': 0.055278}",128,503
Mashhad,Mashhad,Iran,MHD,"{'lat': 36.234, 'lng': 59.643}",128,4331
Southwest Florida Intl,Fort Myers,United States,RSW,"{'lat': 26.536167, 'lng': -81.755167}",128,3793
Port Columbus Intl,Columbus,United States,CMH,"{'lat': 39.997972, 'lng': -82.891889}",128,3759
Heydar Aliyev,Baku,Azerbaijan,GYD,"{'lat': 40.4675, 'lng': 50.046667}",128,2922
Aeroparque Jorge Newbery,Buenos Aires,Argentina,AEP,"{'lat': -34.559175, 'lng': -58.415606}",128,2442
Bilbao,Bilbao,Spain,BIO,"{'lat': 43.301097, 'lng': -2.910608}",128,1216
Sevilla,Sevilla,Spain,SVQ,"{'lat': 37.418, 'lng': -5.8931059999999995}",127,1253
Palermo,Palermo,Italy,PMO,"{'lat': 38.175958, 'lng': 13.091019}",126,1512
General Mitchell Intl,Milwaukee,United States,MKE,"{'lat': 42.947222, 'lng': -87.896583}",125,3717
Jinnah Intl,Karachi,Pakistan,KHI,"{'lat': 24.906547, 'lng': 67.160797}",125,2206
Mehrabad Intl,Teheran,Iran,THR,"{'lat': 35.689167, 'lng': 51.313416}",125,2131
Naha,Okinawa,Japan,OKA,"{'lat': 26.195814, 'lng': 127.645869}",123,2384
Imam Khomeini,Tehran,Iran,IKA,"{'lat': 35.416111, 'lng': 51.152222}",122,4330
Dubrovnik,Dubrovnik,Croatia,DBV,"{'lat': 42.561353, 'lng': 18.268244}",121,1200
Norman Y Mineta San Jose Intl,San Jose,United States,SJC,"{'lat': 37.3626, 'lng': -121.929022}",120,3748
