name,team,points
Chuck Hayes,Rockets,358
Jarvis Hayes,Nets,350
Brendan Haywood,Mavericks,226
Brendan Haywood,Wizards,478
Luther Head,Pacers,357
Gerald Henderson,Bobcats,113
Roy Hibbert,Pacers,946
J.J. Hickson,Cavaliers,689
Nene Hilario,Rockets,1135
George Hill,Spurs,964
Grant Hill,Suns,912
Jordan Hill,Knicks,97
Jordan Hill,Rockets,147
Kirk Hinrich,Bulls,805
Jrue Holiday,76ers,587
Ryan Hollins,Timberwolves,447
Al Horford,Hawks,1148
Eddie House,Celtics,358
Eddie House,Knicks,115
Dwight Howard,Magic,1503
Josh Howard,Mavericks,388
Josh Howard,Wizards,58
Juwan Howard,Trailblazers,437
Lester Hudson,Grizzlies,36
Lester Hudson,Celtics,22
Larry Hughes,Bobcats,114
Larry Hughes,Knicks,297
Kris Humphries,Nets,356
Kris Humphries,Mavericks,131
Chris Hunter,Warriors,270
Lindsey Hunter,Bulls,13
Othello Hunter,Hawks,11
Steven Hunter,Grizzlies,53
Serge Ibaka,Thunder,461
Andre Iguodala,76ers,1401
Zydrunas Ilgauskas,Cavaliers,474
Ersan Ilyasova,Bucks,840
Allen Iverson,Grizzlies,37
Allen Iverson,76ers,348
Royal Ivey,76ers,70
Royal Ivey,Bucks,23
Jarrett Jack,Raptors,931
Cedric Jackson,Spurs,7
Cedric Jackson,Cavaliers,1
Cedric Jackson,Wizards,12
Darnell Jackson,Cavaliers,21
Darnell Jackson,Bucks,2
Stephen Jackson,Warriors,149
Stephen Jackson,Bobcats,1518
LeBron James,Cavaliers,2258
Mike James,Wizards,18
Antawn Jamison,Wizards,840
Antawn Jamison,Cavaliers,395
Nathan Jawai,Timberwolves,124
Al Jefferson,Timberwolves,1301
Othyus Jeffers,Jazz,37
Richard Jefferson,Spurs,994
Jared Jeffries,Knicks,284
Jared Jeffries,Rockets,88
Brandon Jennings,Bucks,1270
Jonas Jerebko,Pistons,741
Yi Jianlian,Nets,623
Amir Johnson,Raptors,511
Anthony Johnson,Magic,130
James Johnson,Bulls,256
Joe Johnson,Hawks,1619
Dahntay Jones,Pacers,776
Dwayne Jones,Suns,0
James Jones,Heat,146
Solomon Jones,Pacers,207
DeAndre Jordan,Clippers,336
Chris Kaman,Clippers,1408
Jason Kapono,76ers,324
Coby Karl,Warriors,28
Coby Karl,Cavaliers,0
Jason Kidd,Mavericks,824
Andrei Kirilenko,Jazz,688
Kyle Korver,Jazz,374
Kosta Koufos,Jazz,53
Nenad Krstic,Thunder,639
Oliver Lafayette,Celtics,7
Carl Landry,Kings,504
Carl Landry,Rockets,839
Marcus Landry,Knicks,44
Marcus Landry,Celtics,0
Acie Law,Bulls,66
Acie Law,Bobcats,16
Acie Law,Warriors,31
Ty Lawson,Rockets,542
Courtney Lee,Nets,885
David Lee,Knicks,1640
Rashard Lewis,Magic,1013
Shaun Livingston,Thunder,10
Shaun Livingston,Wizards,240
Brook Lopez,Nets,1542
Robin Lopez,Suns,430
Kevin Love,Timberwolves,842
Kyle Lowry,Rockets,620
Corey Maggette,Warriors,1387
Jamaal Magloire,Heat,77
Ian Mahinmi,Spurs,101
Shawn Marion,Mavericks,898
Sean Marks,Hornets,10
Cartier Martin,Warriors,90
Cartier Martin,Wizards,51
Kenyon Martin,Rockets,667
Kevin Martin,Rockets,510
Kevin Martin,Kings,436
Desmond Mason,Kings,13
Roger Mason,Spurs,501
Wesley Matthews,Jazz,769
Jason Maxiell,Pistons,513
Eric Maynor,Thunder,248
Eric Maynor,Jazz,134
O.J. Mayo,Grizzlies,1432
Sean May,Kings,123
Luc Mbah a Moute,Bucks,453
Didier Ilunga-Mbenga,Lakers,105
Antonio McDyess,Spurs,446
JaVale McGee,Wizards,386
Tracy McGrady,Knicks,226
Tracy McGrady,Rockets,19
Dominic McGuire,Kings,8
Dominic McGuire,Wizards,30
Josh McRoberts,Pacers,179
Jodie Meeks,Bucks,169
Jodie Meeks,76ers,112
Pops Mensah-Bonsu,Raptors,34
Pops Mensah-Bonsu,Rockets,5
C.J. Miles,Jazz,622
Darko Milicic,Timberwolves,199
Darko Milicic,Knicks,16
Andre Miller,Trailblazers,1146
Brad Miller,Bulls,719
Mike Miller,Wizards,586
Paul Millsap,Jazz,954
Patrick Mills,Trailblazers,26
Nazr Mohammed,Bobcats,459
Jamario Moon,Cavaliers,296
Mikki Moore,Warriors,115
Adam Morrison,Lakers,74
Randolph Morris,Hawks,62
Anthony Morrow,Warriors,899
Byron Mullens,Thunder,14
Troy Murphy,Pacers,1050
Ronald Murray,Bobcats,454
Ronald Murray,Bulls,292
Eduardo Najera,Mavericks,108
Eduardo Najera,Nets,49
Steve Nash,Suns,1333
Jameer Nelson,Magic,818
Rasho Nesterovic,Raptors,163
Joakim Noah,Bulls,687
Andres Nocioni,Kings,635
Steve Novak,Clippers,113
Dirk Nowitzki,Mavericks,2027
Fabricio Oberto,Wizards,83
Patrick O'Bryant,Raptors,19
Greg Oden,Trailblazers,233
Lamar Odom,Lakers,882
Emeka Okafor,Hornets,850
Mehmet Okur,Jazz,988
Kevin Ollie,Thunder,44
Jermaine O'Neal,Heat,950
Shaquille O'Neal,Cavaliers,636
Travis Outlaw,Trailblazers,109
Travis Outlaw,Clippers,200
Zaza Pachulia,Hawks,333
Jannero Pargo,Bulls,344
Anthony Parker,Cavaliers,595
Tony Parker,Spurs,894
Chris Paul,Hornets,841
Sasha Pavlovic,Timberwolves,263
Oleksiy Pecherov,Timberwolves,197
Jeff Pendergraph,Trailblazers,104
Kendrick Perkins,Celtics,791
Morris Peterson,Hornets,327
Johan Petro,Rockets,122
Paul Pierce,Celtics,1296
Mickael Pietrus,Magic,651
James Posey,Hornets,399
Leon Powe,Cavaliers,79
Josh Powell,Lakers,169
A.J. Price,Pacers,410
Ronnie Price,Jazz,255
Tayshaun Prince,Pistons,661
Joel Przybilla,Trailblazers,123
Chris Quinn,Nets,56
Vladimir Radmanovic,Warriors,217
Vladimir Radmanovic,Bobcats,39
Anthony Randolph,Warriors,384
Shavlik Randolph,Trailblazers,4
Shavlik Randolph,Heat,10
Zach Randolph,Grizzlies,1681
Theo Ratliff,Spurs,34
Theo Ratliff,Bobcats,144
Michael Redd,Bucks,215
J.J. Redick,Magic,788
Chris Richard,Bulls,37
Jason Richardson,Suns,1239
Quentin Richardson,Heat,678
Luke Ridnour,Bucks,852
Nate Robinson,Knicks,397
Nate Robinson,Celtics,170
Sergio Rodriguez,Knicks,200
Sergio Rodriguez,Kings,234
Rajon Rondo,Celtics,1110
Derrick Rose,Bulls,1619
Quinton Ross,Mavericks,54
Quinton Ross,Wizards,38
Brandon Roy,Trailblazers,1398
Brandon Rush,Pacers,774
Kareem Rush,Clippers,9
John Salmons,Bucks,596
John Salmons,Bulls,649
Brian Scalabrine,Celtics,78
Luis Scola,Rockets,1329
Thabo Sefolosha,Thunder,489
Ramon Sessions,Timberwolves,674
Bobby Simmons,Nets,122
James Singleton,Mavericks,59
James Singleton,Wizards,195
Brian Skinner,Clippers,26
Craig Smith,Clippers,585
Jason Smith,76ers,189
Joe Smith,Hawks,194
Josh Smith,Hawks,1269
J.R. Smith,Rockets,1156
Darius Songaila,Hornets,543
Marreese Speights,76ers,532
Jerry Stackhouse,Bucks,358
DeShawn Stevenson,Mavericks,49
DeShawn Stevenson,Wizards,87
Peja Stojakovic,Hornets,784
Amare Stoudemire,Suns,1896
Rodney Stuckey,Pistons,1215
DaJuan Summers,Pistons,134
Jermaine Taylor,Rockets,128
Jeff Teague,Hawks,228
Sebastian Telfair,Cavaliers,39
Sebastian Telfair,Clippers,169
Garrett Temple,Rockets,45
Garrett Temple,Spurs,80
Garrett Temple,Kings,11
Jason Terry,Mavericks,1280
Hasheem Thabeet,Grizzlies,208
Etan Thomas,Thunder,75
Kenny Thomas,Kings,41
Kurt Thomas,Bucks,210
Tim Thomas,Mavericks,135
Tyrus Thomas,Bulls,256
Tyrus Thomas,Bobcats,252
Jason Thompson,Kings,939
Al Thornton,Clippers,548
Al Thornton,Wizards,256
Marcus Thornton,Hornets,1057
Jamaal Tinsley,Grizzlies,133
Anthony Tolliver,Trailblazers,0
Anthony Tolliver,Warriors,539
Alando Tucker,Suns,43
Alando Tucker,Timberwolves,8
Ronny Turiaf,Warriors,207
Hedo Turkoglu,Raptors,835
Ime Udoka,Kings,250
Beno Udrih,Kings,1023
Roko Ukic,Bucks,40
Anderson Varejao,Cavaliers,651
Charlie Villanueva,Pistons,931
Sasha Vujacic,Lakers,185
Dwyane Wade,Heat,2045
Bill Walker,Knicks,321
Bill Walker,Celtics,8
Ben Wallace,Pistons,381
Gerald Wallace,Bobcats,1386
Rasheed Wallace,Celtics,710
Luke Walton,Lakers,69
Hakim Warrick,Bucks,490
Hakim Warrick,Bulls,243
C.J. Watson,Warriors,667
Earl Watson,Pacers,619
Kyle Weaver,Thunder,36
Martell Webster,Trailblazers,768
Sonny Weems,Raptors,518
Russell Westbrook,Thunder,1322
David West,Hornets,1541
Delonte West,Cavaliers,528
Mario West,Hawks,30
D.J. White,Thunder,59
Chris Wilcox,Pistons,152
Damien Wilkins,Timberwolves,451
Mike Wilks,Thunder,16
Deron Williams,Jazz,1419
Jason Williams,Magic,493
Jawad Williams,Cavaliers,224
Louis Williams,76ers,898
Mo Williams,Cavaliers,1092
Marvin Williams,Hawks,820
Marcus Williams,Grizzlies,269
Reggie Williams,Warriors,365
Sean Williams,Nets,52
Shelden Williams,Celtics,201
Terrence Williams,Nets,656
Antoine Wright,Raptors,435
Dorell Wright,Heat,510
Julian Wright,Hornets,259
Nick Young,Wizards,639
Sam Young,Grizzlies,595
Thaddeus Young,76ers,926
